sample,time_s,rpm,crank_phase_deg,cylinder,bank
12694,0.287845805,5049.337,504.660828,8,B
12798,0.290204082,5050.137,576.112976,4,A
12903,0.292585034,5050.951,648.263611,9,B
13008,0.294965986,5051.772,0.425986,0,A
13113,0.297346939,5052.599,72.600113,5,B
13217,0.299705215,5053.424,144.098557,1,A
13322,0.302086168,5054.264,216.296371,6,B
13427,0.304467120,5055.109,288.506226,2,A
13531,0.306825397,5055.954,360.040344,7,B
13636,0.309206349,5056.812,432.274414,3,A
13741,0.311587302,5057.677,504.520813,8,B
13845,0.313945578,5058.540,576.091370,4,A
13950,0.316326531,5059.417,648.362549,9,B
14055,0.318707483,5060.301,0.646313,0,A
14159,0.321065760,5061.182,72.254135,5,B
14264,0.323446712,5062.079,144.563202,1,A
14368,0.325804989,5062.973,216.196274,6,B
14473,0.328185941,5063.881,288.531006,2,A
14577,0.330544218,5064.788,360.189667,7,B
14682,0.332925170,5065.709,432.550415,3,A
14786,0.335283447,5066.628,504.235016,8,B
14891,0.337664399,5067.562,576.622131,4,A
14995,0.340022676,5068.493,648.333069,9,B
15099,0.342380952,5069.430,0.057195,0,A
15204,0.344761905,5070.382,72.484482,5,B
15308,0.347120181,5071.332,144.235443,1,A
15413,0.349501134,5072.297,216.690002,6,B
15517,0.351859410,5073.259,288.468140,2,A
15621,0.354217687,5074.227,360.259949,7,B
15725,0.356575964,5075.201,432.065460,3,A
15830,0.358956916,5076.191,504.575470,8,B
15934,0.361315193,5077.177,576.408875,4,A
16038,0.363673469,5078.170,648.256287,9,B
16142,0.366031746,5079.168,0.117809,0,A
16247,0.368412698,5080.183,72.684669,5,B
16351,0.370770975,5081.194,144.574738,1,A
16455,0.373129252,5082.211,216.479172,6,B
16559,0.375487528,5083.234,288.398010,2,A
16663,0.377845805,5084.263,360.331390,7,B
16767,0.380204082,5085.298,432.279388,3,A
16871,0.382562358,5086.340,504.242065,8,B
16975,0.384920635,5087.387,576.219482,4,A
17079,0.387278912,5088.440,648.211853,9,B
17183,0.389637188,5089.500,0.219089,0,A
17287,0.391995465,5090.565,72.241386,5,B
17391,0.394353741,5091.637,144.278809,1,A
17495,0.396712018,5092.715,216.331436,6,B
17599,0.399070295,5093.798,288.399353,2,A
17703,0.401428571,5094.888,360.482635,7,B
17807,0.403786848,5095.984,432.581390,3,A
17910,0.406122449,5097.075,504.002228,8,B
18014,0.408480726,5098.183,576.132019,4,A
18118,0.410839002,5099.296,648.277527,9,B
18222,0.413197279,5100.417,0.438808,0,A
18326,0.415555556,5101.542,72.615997,5,B
18429,0.417891156,5102.663,144.114914,1,A
18533,0.420249433,5103.801,216.323990,6,B
18637,0.422607710,5104.944,288.549194,2,A
18740,0.424943311,5106.083,360.095917,7,B
18844,0.427301587,5107.238,432.353485,3,A
18948,0.429659864,5108.400,504.627472,8,B
19051,0.431995465,5109.556,576.222778,4,A
19155,0.434353741,5110.730,648.529602,9,B
19258,0.436689342,5111.898,0.157617,0,A
19362,0.439047619,5113.083,72.497696,5,B
19465,0.441383220,5114.263,144.158768,1,A
