Time_ms,Speed_kmh,RPM,Gear,Throttle,Brake,Steering,Lat_G,Long_G,Vert_G,FL_Comp,FR_Comp,RL_Comp,RR_Comp,Front_Slip,Rear_Slip,Session_Id,Session_Timestamp_UTC,Physics_Hz,Test_Id,Track_Scene,Vehicle_Node_Path,Vehicle_Scene,Vehicle_Script,Setup_Schema_Version,Setup_JSON
16,0.00,4524.1,1,0.333,0.000,0.000,0.000,-0.000,0.000,70.00,70.00,63.00,63.00,0.0000,0.0000,"rust_gevp_tri_ray","",60,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
33,0.15,4560.6,1,0.667,0.000,0.000,0.000,0.257,-0.000,70.00,70.00,63.00,63.00,0.0000,0.1753,"rust_gevp_tri_ray","",60,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
50,0.59,4580.6,1,1.000,0.000,0.000,0.000,0.740,0.010,69.28,69.28,63.59,63.59,0.0454,0.4400,"rust_gevp_tri_ray","",60,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
66,1.08,4585.6,1,1.000,0.000,0.000,0.000,0.840,0.024,67.25,67.25,65.20,65.20,0.1110,0.3514,"rust_gevp_tri_ray","",60,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
83,1.59,4586.9,1,1.000,0.000,0.000,0.000,0.873,0.018,65.04,65.04,66.82,66.82,0.0885,0.2293,"rust_gevp_tri_ray","",60,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
99,2.11,4587.2,1,1.000,0.000,0.000,0.000,0.880,0.006,62.88,62.88,68.29,68.29,0.0835,0.1167,"rust_gevp_tri_ray","",60,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
116,2.63,4587.3,1,1.000,0.000,0.000,0.000,0.882,-0.004,60.89,60.89,69.58,69.58,0.0768,0.0214,"rust_gevp_tri_ray","",60,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
133,2.08,4587.3,1,1.000,0.000,0.000,0.000,-0.938,-0.010,59.10,59.10,70.69,70.69,0.0709,0.0592,"rust_gevp_tri_ray","",60,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
150,2.42,4587.3,1,1.000,0.000,0.000,0.000,0.584,-0.013,62.53,62.53,67.60,67.60,0.1377,0.8594,"rust_gevp_tri_ray","",60,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
166,2.91,4587.3,1,1.000,0.000,0.000,0.000,0.824,-0.025,62.14,62.14,67.68,67.68,0.0508,0.8645,"rust_gevp_tri_ray","",60,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
