Time_ms,Speed_kmh,RPM,Gear,Throttle,Brake,Steering,Lat_G,Long_G,Vert_G,FL_Comp,FR_Comp,RL_Comp,RR_Comp,Front_Slip,Rear_Slip,TC_Active,DriveTorque,Session_Id,Session_Timestamp_UTC,Physics_Hz,Test_Id,Track_Scene,Vehicle_Node_Path,Vehicle_Scene,Vehicle_Script,Setup_Schema_Version,Setup_JSON
50,1.25,4500.0,1,1.000,0.000,0.000,-0.000,0.710,-0.008,70.00,70.00,63.00,63.00,0.0000,4.0795,true,2230.5,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
100,1.34,4500.0,1,1.000,0.000,0.000,0.000,0.046,-0.024,51.31,51.31,78.32,78.32,0.2857,0.9174,true,0.0,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
150,1.41,4500.0,1,1.000,0.000,0.000,0.000,0.029,-0.122,84.77,84.77,52.03,52.03,0.0956,0.9120,true,0.0,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
200,1.46,4500.0,1,1.000,0.000,0.000,-0.000,0.038,0.109,54.16,54.16,83.60,83.60,0.0000,0.6005,true,0.0,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
250,1.47,4500.0,1,1.000,0.000,0.000,0.000,0.000,-0.061,92.13,92.13,54.20,54.20,0.0912,0.6901,true,0.0,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
300,1.51,4500.0,1,1.000,0.000,0.000,0.000,0.027,0.152,57.32,57.32,87.06,87.06,0.0000,0.4733,true,0.0,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
350,1.50,4500.0,1,1.000,0.000,0.000,-0.000,-0.004,-0.075,93.13,93.13,55.38,55.38,0.1145,0.0000,true,0.0,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
399,1.55,4500.0,1,1.000,0.000,0.000,0.000,0.019,0.116,57.17,57.17,85.78,85.78,0.0000,0.3718,true,0.0,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
449,1.54,4500.0,1,1.000,0.000,0.000,0.000,-0.004,-0.110,90.57,90.57,54.27,54.27,0.1146,0.0000,true,0.0,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
