Time_ms,Speed_kmh,RPM,Gear,Throttle,Brake,Steering,Lat_G,Long_G,Vert_G,FL_Comp,FR_Comp,RL_Comp,RR_Comp,Front_Slip,Rear_Slip,TC_Active,DriveTorque,Session_Id,Session_Timestamp_UTC,Physics_Hz,Test_Id,Track_Scene,Vehicle_Node_Path,Vehicle_Scene,Vehicle_Script,Setup_Schema_Version,Setup_JSON
50,1.25,4500.0,1,1.000,0.000,0.000,-0.000,0.710,-0.008,70.00,70.00,63.00,63.00,0.0000,4.0795,true,2230.5,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
100,1.42,4500.0,1,1.000,0.000,0.000,0.000,0.093,-0.023,51.31,51.31,78.32,78.32,0.2857,1.2098,true,222.5,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
150,1.54,4500.0,1,1.000,0.000,0.000,0.000,0.055,-0.118,83.54,83.54,53.01,53.01,0.0743,1.3412,true,201.1,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
200,1.69,4500.0,1,1.000,0.000,0.000,-0.000,0.094,0.103,53.69,53.69,83.77,83.77,0.0000,1.1525,true,196.9,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
250,1.74,4500.0,1,1.000,0.000,0.000,-0.000,0.024,-0.058,90.70,90.70,55.21,55.21,0.0552,1.3725,true,197.5,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
300,1.91,4500.0,1,1.000,0.000,0.000,-0.000,0.097,0.146,56.86,56.86,87.22,87.22,0.0000,1.2461,true,191.3,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
350,1.92,4500.0,1,1.000,0.000,0.000,0.000,0.008,-0.084,91.53,91.53,56.66,56.66,0.0706,1.4549,true,193.5,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
399,2.13,4510.5,1,1.000,0.000,0.000,0.000,0.113,0.125,56.57,56.57,86.85,86.85,0.0000,1.3671,true,185.8,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
449,2.14,4500.0,1,1.000,0.000,-0.000,-0.000,0.007,-0.119,88.86,88.86,56.44,56.44,0.0652,1.5290,true,196.2,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
