Time_ms,Speed_kmh,RPM,Gear,Throttle,Brake,Steering,Lat_G,Long_G,Vert_G,FL_Comp,FR_Comp,RL_Comp,RR_Comp,Front_Slip,Rear_Slip,TC_Active,DriveTorque,Session_Id,Session_Timestamp_UTC,Physics_Hz,Test_Id,Track_Scene,Vehicle_Node_Path,Vehicle_Scene,Vehicle_Script,Setup_Schema_Version,Setup_JSON
8,0.00,4501.7,1,0.167,0.000,0.000,0.000,-0.000,0.000,70.00,70.00,63.00,63.00,0.0000,0.0000,true,0.0,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
16,0.00,4522.1,1,0.333,0.000,0.000,-0.000,-0.000,-0.000,70.00,70.00,63.00,63.00,0.0000,0.0000,true,0.0,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
25,0.00,4561.5,1,0.500,0.000,0.000,-0.000,-0.000,-0.000,70.00,70.00,63.00,63.00,0.0000,0.0000,true,0.0,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
33,0.03,4611.8,1,0.667,0.000,0.000,-0.000,0.098,-0.000,70.00,70.00,63.00,63.00,0.0000,0.0552,true,181.0,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
41,0.15,4652.3,1,0.833,0.000,0.000,0.000,0.429,-0.002,69.93,69.93,63.06,63.06,0.0090,0.2327,true,800.0,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
49,0.26,4687.3,1,1.000,0.000,0.000,0.000,0.349,-0.008,69.58,69.58,63.35,63.35,0.0375,0.1474,true,665.4,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
58,0.45,4708.1,1,1.000,0.000,0.000,0.000,0.662,-0.009,69.15,69.15,63.71,63.71,0.0277,0.2838,true,1259.9,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
66,0.56,4720.4,1,1.000,0.000,0.000,0.000,0.364,-0.013,68.46,68.46,64.30,64.30,0.0377,0.0744,true,713.0,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
75,0.79,4727.7,1,1.000,0.000,0.000,0.000,0.796,-0.008,67.87,67.87,64.82,64.82,0.0124,0.3765,true,1954.9,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
83,0.87,4732.1,1,1.000,0.000,0.000,0.000,0.261,-0.012,67.03,67.03,65.55,65.55,0.0443,0.0619,true,528.4,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
